Account and plan management,How to use the service,"With our service, all you need to focus on is creating quality content for your followers, and we will handle the rest.
Here's how Ascend Viral facilitates growth for your account:
1- We analyze profiles to find the perfect match based on the information you provide in a form. This includes your targets, hashtags, location, etc.
2- We engage with real accounts that have a genuine interest in your content.
3- As a result, you will gain engaged and excited new fans who will follow you back.
4- We unfollow these users after 3-7 days, unless you choose to keep some of them by adding them to what we call ""the whitelist."" 
Your current following will also be added to the whitelist, ensuring that we do not interact with them. This is known as the follow/unfollow method.","To get an idea of how our service works, please check out this video: https://youtu.be/_VEJsL3XpLI","We employ strategies to follow and unfollow numerous accounts every month, specifically those that we believe would be interested in your content. By following them, they are more likely to visit your account and give you a follow. Our approach is conducted safely, and our personal growth assistants are highly trained experts in achieving growth. :)","We typically carry out approximately 200 actions per day, which appears to be the maximum limit allowed by Instagram without triggering action blocks.","By using our service, you will receive 100% organic, real, and highly targeted followers, guided by an expert growth assistant throughout the entire process.","On your behalf, we typically interact with 3,000-4,000 accounts every month.","Engaging in follow-unfollow spam violates Instagram's Terms of Service. However, we do not engage in spamming. Instead, we effectively interact with your community in a meaningful way to attract more visitors to your profile. Ultimately, it is your profile and content that will convince users to hit that follow button and give them a reason to stay. :)","We carry out approximately 150-200 actions (follow/unfollow) every day. This number aligns with Instagram's maximum limit to avoid action blocks. As a result, we charge our clients on a monthly basis to ensure consistent growth.","Typically, the onboarding process involves 2-3 days of defining your target audience and completing the necessary steps. This is followed by 2-3 days of growth before the paid plan officially begins.","I often describe Ascend Viral as gasoline, where your content and targeting preferences act as the fire. We can only enhance your growth if your content and targeting are already effective.","We appreciate your interest in our services. I want to assure you that our services are commitment-free, and we do not require you to sign a contract. You have the freedom to cancel your subscription anytime you wish.","Yes, we do require a password in order to provide our growth service. Unlike services that send fake followers, we focus on building genuine relationships through a manual follow/unfollow process.",We only charge you after your 5-day free trial period. You can choose to cancel during the trial period & we won't charge you.,"We don't unfollow your current followings. We only unfollow who we specifically follow on your account. 
your current following will be added to a whitelist. you can always add more to that whitelist as we progress with your account growth.", ,,,,,,,,,
,Account set up and management,"Typically, the onboarding process involves 2-3 days of defining your target audience and completing the necessary steps. This is followed by 2-3 days of growth before the paid plan officially begins.","Please note that our payment processor may take up to 12 hours to confirm the payment. If you do not gain access within 12 hours, please let me know so I can assist you further.","If you need to reconnect your account, you can use the following link: https://assistant.ascendviral.com/control","If you would like assistance in updating your password, you can do so by accessing the following link: https://assistant.ascendviral.com/control
Click ""EDIT"" under credentials, type down your correct password, then hit update!","If you're having trouble with filling out your growth strategy form, please make sure you type in the hashtags and enter them one by one!

","In case you are unable to edit and submit a new strategy, you may need to wait for your personal growth assistant to assist you with the update. Alternatively, you can send your username and password to your assistant through the messaging section, and they will make the correction on their end","To make the update, you can send a message to your assistant through the messaging section of our platform. They will assist you in making the necessary changes, or you can edit your growth strategy in the settings section to enter the correct information.","If you need to update your Instagram username and password, simply inform your growth assistant about the change, and they will guide you on how to update it correctly.","I noticed that you've submitted the growth form multiple times. However, it seems that there is an issue with the username field in the submitted forms. Please note that an Instagram username cannot contain spaces.","To ensure accurate processing of your growth strategy, I kindly request you to fill out a new form with the correct username. You can access the form using the link below:
https://assistant.ascendviral.com/onboarding

If this doesn't work, kindly access this link: https://assistant.ascendviral.com/control
Click ""FILL"" or ""EDIT"" under Strategy, then fill out your form. Once you're done, please scroll down and hit update. That's all!","After you sign up, we will require you to fill out a short 5-minute onboarding form. This form will include providing your Instagram credentials and sharing details about your account and target audience. We want to know who you want to target and any specific preferences you may have.", ,,,,,,,,,,,,
,Plan options and differences,"We currently offer two different plans. For more information about our plans and pricing, please visit: https://ascendviral.com/followers/","If you opt for the turbo plan, we can provide additional assistance with your content strategy and offer advice to help accelerate your account's growth. However, please note that we do not post or schedule content on your behalf.","I would recommend considering the turbo package, as our service relies on your individual followback ratio. The follow-back ratio improves based on the quality of your content and the targeting provided to your personal growth assistant.","For those who have their content strategy figured out, the Starter Growth plan should be sufficient. However, if you find yourself struggling with content creation, our Turbo Plan is the way to go. As part of this plan, we offer a detailed content report, usually available by week 3 of your subscription. This report will up your content game and enhance your strategy to drive more growth.","Thank you for your interest in Ascend Viral! We're excited to have you on board. As part of our Turbo plan, we can provide content consultation and give you recommendations and advice on your content strategy. However, please note that we do not offer services for posting or scheduling content on your behalf.","In the Turbo plan, you not only receive advice and suggestions but also have access to an Instagram expert who can address any questions or concerns you may have. It's like having a personal consultant dedicated to your Instagram growth. We go the extra mile to provide detailed support and take more actions each month to maximize your results.
On the other hand, the Starter plan also offers basic support and guidance to help you with your Instagram growth. However, the level of customization and in-depth assistance provided in the Turbo plan sets it apart.","With the Turbo plan, we provide additional customization options that go beyond what's offered in the Starter pack. We can help you tailor your bio, provide more personalized suggestions, and offer guidance that is specific to your account.","The Turbo plan includes comprehensive advice and coaching. We can assist you with various aspects such as hashtags, posting strategies, and bio optimization. Our goal is to provide detailed responses to your queries within 24-48 hours, although response times may vary depending on the complexity of the request.","With the Turbo plan, we offer advanced support that goes beyond the basic features. Think of us as consultants for your Instagram profile. If you need help with hashtags, posting strategies, or any other aspect, we are here to provide guidance and assistance. Please note that the Starter plan does not include this level of customization.","Our advanced support, available with the Turbo plan, includes personalized consulting and advice from your dedicated growth assistant. We can assist you with profile optimization, growth strategies, content planning, and more. It's like having a trusted advisor for your Instagram journey.","With our advanced support, you can expect personalized consultation and advice from your dedicated growth assistant. They will assist you with various aspects of your Instagram account, such as optimizing your bio, providing content consultation, and offering guidance on effective hashtag usage.
In the Turbo plan, you will have access to more comprehensive advice and suggestions. It's like having an Instagram expert at your service, where you can ask anything related to Instagram and receive detailed guidance.
While the Starter plan also includes support and guidance, the Turbo plan offers a higher level of detail and involves more actions taken on your account each month.
To help you decide if Ascend Viral is the right fit for your Instagram growth, we offer a five-day free trial. You can cancel anytime without any long-term commitments.
Please let me know if you have any further questions.","Due to the specialized nature of the service and the specific actions involved, our spots for the Celebrity plan are currently at capacity. However, you may consider trying our Turbo plan, which employs a manual approach to the follow/unfollow method.", ,,,,,,,,,,,
,Free trial,"During the trial period, we take the necessary steps to connect and link your account, conduct thorough research, and create a tailored growth strategy. Additionally, we strive to maximize your trial by initiating a few days of follow actions. Please note that the trial period lasts for 5 days, and typically, we have everything set up and running smoothly by day 2 or 3 of the trial.","When you sign up with Ascend Viral, we kick off by doing some essential groundwork to make your Instagram growth journey a success. This initial phase typically takes about 2-3 days. During this time, we conduct in-depth research to understand your unique growth strategy, and we carefully define your target audience. This step is crucial to ensure that we start targeting the right people effectively. Once we've completed this groundwork, we'll promptly log in to your account and begin the activity that drives organic growth. Rest assured, we'll keep you updated!","Typically, the onboarding process and defining your target audience takes around 2-3 days. After that, the growth phase begins, which also lasts around 2-3 days before the paid plan commences.","To help you determine if we are the right fit for your Instagram growth, we offer a five-day free trial. You can cancel anytime, and there are no long-term commitments.","Hi there! Unfortunately, whether you opt for a trial or purchase the plan outright, we still need to gather your information and warm up your account. Therefore, I would recommend staying on the trial.","To give our service a try and see if it aligns with your Instagram growth goals, you can take advantage of our five-day free trial. This trial allows you to experience our service firsthand and make an informed decision. The best part is, you can cancel anytime without any long-term commitments.","During the free trial period, our primary goal is to get you acquainted with the Ascend Viral experience and set the foundation for a successful Instagram growth journey. Here's what you can expect during the trial:

1. Account connection and linking: We will connect your account with your Personal Growth Assistant and ensure everything is set up correctly for a smooth start.
2. Research and growth strategy creation: Our team will analyze your account and create a personalized growth strategy based on your target audience, content, and goals.
3. Initial follow actions: We typically perform a couple of days of follow actions during the trial period.

The trial period is designed to help you become familiar with our service and processes, without spending money during the initial setup and low-activity phase. This ensures that once you transition to a paid plan, you'll be in an excellent position to maximize your growth potential with Ascend Viral.
","The trial period is primarily aimed at getting you started and registered with us, rather than providing significant follower growth right away. During the trial period, there is usually limited activity, which is why we offer it at no cost to ensure you don't spend money during this initial phase.",The free trial is available on all of our plans. All you have to do is sign up.,"To start your trial, simply choose one of the plans here, and continue with the sign up process: https://ascendviral.com/followers/","Please note that the system may take up to 12 hours to process subscriptions. If you do not gain access after this period, feel free to reach out to us via live chat, and we'll assist you promptly.", ,,,,,,,,,,,,
,Billing and pricing,"We currently offer two different plans. For more information about our plans and pricing, please visit: https://ascendviral.com/followers/","Currently, we do not accept cryptocurrency payments. We only accept payments through the available payment methods on our platform ( PayPal & Credit Card ).","Please note that PayPal requires linked credit cards or bank accounts with sufficient funds for recurring payments. If you encounter any issues with your PayPal payment, please ensure your payment method is properly linked and has enough funds to cover the recurring charges.","Our system automatically attempts to process payments and will make another attempt within the next 24 hours if there is an issue with your payment. 

If you want to process it faster, first cancel your subscription here: https://ascendviral.com/members-area/

Then, you can purchase a new subscription here (you'll have to pay with Stripe): https://ascendviral.com/start-instantly/","The plan can save you 80+ hours per month, which is a significant time-saving benefit. I personally believe that alone makes it well worth the investment. However, if you feel that it may not be the optimal choice for you at the moment, I recommend considering our ebook. In the ebook, we explain the whole process in detail, providing valuable insights and knowledge. It can be a great resource to help you navigate Instagram growth effectively.", ,,,,,,,,,,,,,,,,,,
,New Instagram account / Content,"Before joining our service, we highly recommend taking 4-6 weeks of consistent posting to build momentum. Having engaging content is crucial to attract and retain followers, and this initial period of regular posting will significantly enhance your organic growth potential.","We recommend having existing content on your account (at least 9 posts) before using our service. This way, people will have a reason to follow you and engage with your account, leading to better growth results.","Newly created accounts are less trusted by Instagram. Thus, they usually don't go past the warm up phase. With this in mind, we strongly encourage you to take 4-6 weeks to start posting content. Growing an account with limited or no posts organically can be very difficult. Posting high-quality content will help attract and retain followers, resulting in better growth outcomes.",We require at least 9 posts before we can start working on your account. This helps ensure that there is enough content to attract and engage your target audience effectively.,"As a general recommendation, we suggest starting with 9 high-quality posts. Along with that, having a well-crafted bio and a good profile picture can also positively impact your growth. It's important to note that new accounts may take longer to achieve significant growth results.","We can certainly help you grow your art account. Our services cover various niches, and as long as your target audience exists on Instagram, we can assist in attracting an artistic audience specifically tailored to your content. Our personal growth assistants will guide you throughout the process and continuously optimize your profile and strategy to deliver the best possible results.","Consistent content is key to achieving the best results. Our strategy can work effectively on a new account, but it relies on regular posting of high-quality content. I recommend aiming for at least one post, reel, or story per day or every other day to keep your account active and engage your audience.", ,,,,,,,,,,,,,,,,
,Upgrade/Downgrade,"The easiest way to do this is to wait until your current subscription ends, cancel your current subscription, and then sign up with a new subscription under your preferred plan. If this isn’t an ideal solution, then you can contact your Personal Growth Assistant regarding this.","If you signed up using PayPal, here's how you can change your subscription plan.

1. Cancel your current subscription using this link: https://ascendviral.com/members-area/

2. Wait until your subscription expiry date, and then purchase your preferred plan using this link: https://ascendviral.com/start-instantly/

Make sure you're logged in to your Ascend Viral account!","If you signed up with Stripe, simply inform us of the plan you’d like to proceed with and share the email address associated with your account. We’ll promptly forward your request to the relevant team, and you can expect an email from us as soon as it’s processed!", ,,,,,,,,,,,,,,,,,,,,
,Add multiple subscriptions or new subscription,"To start a new subscription, please follow the link below: 
https://ascendviral.com/start-instantly/

Kindly note that new subscriptions won't be eligible for a free trial since the trial offer is available once per account.","Absolutely! You can add as many accounts as you wish, and all of them can be managed from one Instagram dashboard.

Let me know if you ever plan on adding more accounts, and I'll gladly help.","To add more accounts for growth, simply follow this guide:

1. Purchase a new subscription for your account here: https://ascendviral.com/start-instantly/

2. Onboard your new account and fill out a growth strategy for it here: https://assistant.ascendviral.com/onboarding

Make sure to let your assistant know about your second account!","To swap your account, please fill out another growth strategy form using the following link: http://dashboard.ascendviral.com/onboarding. Once we receive your new form, we will proceed with updating your account information.

Make sure to let your growth assistant know!","Feel free to add as many accounts as you need, with a separate growth strategy for each one. Please make sure to pay for each subscription separately, but rest assured that all accounts will be managed under your main account.","You have the flexibility to add as many accounts as you want. If you're planning to add multiple accounts, you can use the coupon code ""coupon-example"" to receive a $20 discount on each additional account subscribed to the Turbo plan. This coupon code is usually reserved for clients with multiple accounts.", ,,,,,,,,,,,,,,,,,
Growth strategy and performance,Growth delay and what's next,"Typically, the onboarding process involves 2-3 days of defining your target audience and completing the necessary steps. This is followed by 2-3 days of growth before the paid plan officially begins.","I apologize, but it seems that your current growth assistant is not available online at the moment. I've left a note for them, and they'll get back to you as soon as possible!","Perfect! Your personal growth assistant will review all the information you submitted, and define the correct target audience within 48-72 hours and get started with the process as soon as possible. Feel free to text them in the meantime!",I notify your growth assistant to begin working on your account as soon as possible.,"Sometimes it may take up to 48 hours for accounts to appear in the dashboard, especially during weekends when the processing time may be longer. Once your account shows up in the dashboard, your growth assistant will reach out to you through our messaging platform at https://assistant.ascendviral.com/messages","I want to assure you that your account is active and we are actively working on your growth strategy. However, please note that we are currently in the unfollow week, where we perform more unfollow actions. This may be why you are noticing fewer daily activities. We switch between follow and unfollow every week to maintain a balanced approach.

For more details on your account's progress, I recommend reaching out to your growth manager through the messages section at https://assistant.ascendviral.com/messages","Sometimes it may take up to 48 hours for accounts to appear in the dashboard, especially during weekends when the processing time may be longer. Once your account shows up in the dashboard, your growth assistant will reach out to you through our messaging platform at https://assistant.ascendviral.com/messages", ,,,,,,,,,,,,,,,,
,Estimation and guarantee of growth,"The number of followers you can gain per month varies based on external factors like your niche, content quality & consistency, audience engagement, and your account's general appeal. On average, growth can range from 200 to 800 followers per month, but results may differ for each account.

We've managed accounts that have achieved substantial growth of over 2,000 followers monthly, while others have seen more modest gains of around 200 followers per month, all depending on the factors mentioned above.","The growth you achieve with our service depends on your level of commitment and improvement in content. Some clients who are highly focused on content see significant growth of around 1,000 followers per month, while others who struggle with content may gain only a couple hundred followers per month or less.","In my view, a ""decent"" account typically achieves a follow-back rate of 25-50%. This results in an average growth rate of around 400-1,200 followers. However, proactive actions such as creating better content, engaging with the community, and posting frequently can contribute to even better results.","It's quite impossible for us to guarantee growth on Instagram. If we could guarantee X amount of followers, then that should be your indicator that our service isn't organic. Since our service is organic, the only guarantee we offer is our refund policy which is usually only offered for extremely low performers (https://ascendviral.com/help-center/real-growth-guarantee/).","To measure the effectiveness of our strategies on your account, please feel free to read our growth guarantee here: https://ascendviral.com/help-center/real-growth-guarantee/","It is difficult to provide precise measurements as every account is unique and has different needs.
We have accounts that experience growth rates of 2,000+ followers per month, while others may have significantly lower growth rates of around 200 followers. The growth depends on various factors such as content quality, targeting, and niche.","Some accounts may exceed 1500 followers (we have accounts growing by 2000+ followers) due to factors like posting reels and maintaining a high content frequency. On the other hand, some accounts may experience negative growth if they previously purchased fake followers, which were subsequently removed by Instagram.","In the first month, you can expect to gain between 200-400 followers under optimal growth conditions. As we continually optimize growth on a weekly basis, this number improves, allowing you to achieve your monthly follower goals and potentially exceed them.","The estimation provided in our pricing page is a rough range, and all the followers gained through Ascend Viral are real and engaging. However, we cannot guarantee specific results as it depends on several factors.","We do not offer specific guarantees for the number of followers. Our estimations are based on expected results with optimized content and target settings.

However, we have a growth guarantee that you can find here: https://ascendviral.com/help-center/real-growth-guarantee/","Providing an estimation is challenging because if there are fake followers in your account, it can take time to address and fix that issue. We have the capability to fix it, but it requires time and effort.", ,,,,,,,,,,,,
